,track_id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_sig,date_added
0,17Y2K7uNxMkaTDBtf1Tcv3,Let A Woman Be A Woman - Let A Man Be A Man,Dyke & The Blazers,0.83,0.565,9,-11.013,0,0.0507,0.00784,0.00429,0.0873,0.873,112.163,193680,4,2015-05-05T18:58:31Z
1,4pW3aTX3kAmOaPJfc9UM12,Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,0.789,0.683,8,-8.835,1,0.086,0.48,0.0,0.35,0.882,92.311,233613,4,2015-05-28T18:34:26Z
2,2j6GCSzFpdYkpUGVC9WPEY,Baby I Love You,Cold Blood,0.594,0.913,7,-9.318,1,0.0918,0.102,0.0223,0.0443,0.645,108.128,370613,4,2015-05-28T18:35:28Z
3,75ZFEL0MYrPGIVTEre7pwL,In The Deep,The Beginning Of The End,0.623,0.802,2,-6.448,0,0.056,0.528,7.33e-05,0.334,0.831,113.439,293627,4,2015-05-28T18:36:11Z
4,6C7a0oCVDLXBjhCBeEG8vk,Wanaoh,Black Heat,0.588,0.879,5,-13.098,1,0.0385,0.0473,0.915,0.181,0.915,103.701,232467,4,2015-05-28T18:36:24Z
5,6FvI7gIBaypsMhIW0igSfv,Rock Me Again & Again & Again & Again & Again,Lyn Collins,0.829,0.437,11,-12.931,0,0.228,0.0484,0.0,0.0664,0.962,116.985,203960,4,2015-05-28T18:36:44Z
6,5p740f4nyQc1JChnJqH8xD,People Get Up And Drive Your Funky Soul - Remix,James Brown,0.797,0.81,0,-5.367,1,0.172,0.239,0.00298,0.0988,0.818,97.536,544640,4,2015-05-28T18:36:51Z
7,0DF2L5iogeTm9DReWLoipE,House Party,Fred Wesley,0.859,0.559,0,-16.169,0,0.0487,0.084,0.00081,0.0547,0.946,102.081,254533,4,2015-05-28T18:37:07Z
8,4o1yx2u3jBmR360WIXZ3L0,Hair,Graham Central Station,0.72,0.836,9,-10.195,1,0.0611,0.075,0.000656,0.1,0.961,157.178,295147,4,2015-05-28T18:39:19Z
9,5js0eS99CZbJpbZW6A9T95,Bootzilla,Bootsy Collins,0.804,0.866,1,-8.829,0,0.104,0.434,7.84e-06,0.732,0.745,103.643,339373,4,2015-05-28T18:40:12Z
10,2R4T2Nxu8dZD4KmECfVliG,Fire,Ohio Players,0.623,0.836,5,-10.373,1,0.0785,0.228,0.0466,0.311,0.799,107.306,274427,4,2015-05-28T18:40:31Z
11,3oJL3rNbTyRmHaU2Yr4TpP,Too Hot To Stop (Part 1),The Bar-Kays,0.751,0.848,2,-4.289,1,0.129,0.0286,0.0167,0.0856,0.587,101.197,339293,4,2015-05-28T18:40:35Z
12,6Ie9yuocD61v7hrh02moc6,Flash Light,Parliament,0.704,0.735,10,-10.426,1,0.0594,0.28,0.149,0.475,0.681,105.182,346667,4,2015-05-28T18:40:52Z
13,3SWZ9fHtWMxwkFok5qhhpO,Can You Get To That,Funkadelic,0.689,0.83,8,-8.774,1,0.0954,0.539,0.0,0.0882,0.815,140.732,171560,4,2015-05-28T18:42:04Z
14,0BRETWVsgLUOyuw1GQdhiG,Fire on the Bayou,The Meters,0.764,0.61,0,-12.159,1,0.0566,0.0433,0.0303,0.0548,0.975,98.466,250067,4,2015-05-28T18:42:12Z
15,2BydLQAh7CUIFvSEqAMc4x,If You Want Me to Stay,Sly & The Family Stone,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,180493,4,2015-05-28T18:42:21Z
16,5TUa3AsgSh3kJIuXn42wig,"Shout, Pts. 1 & 2",The Isley Brothers,0.467,0.831,10,-7.661,1,0.0683,0.549,0.0,0.95,0.547,137.355,267333,4,2015-05-28T18:42:27Z
17,0RgcOUQg4qYAEt9RIdf3oB,Shining Star,"Earth, Wind & Fire",0.676,0.692,9,-13.093,1,0.052,0.668,0.00915,0.13,0.799,102.516,170160,4,2015-05-28T18:45:20Z
18,3K0SJUQNbOkUprTFcwwAKN,Jungle Boogie,Kool & The Gang,0.808,0.85,5,-8.772,1,0.0868,0.115,0.000109,0.316,0.717,106.855,186533,4,2015-05-28T18:45:25Z
19,2x1LQq8lsUzAA2wNj8yjC9,Pick Up the Pieces,Average White Band,0.768,0.853,10,-5.915,0,0.0427,0.0548,0.13,0.0188,0.889,107.234,239908,4,2015-05-28T18:45:36Z
20,3lHLh7um7wGHjBlBVJMA2R,I Wish - Single Edit,Stevie Wonder,0.841,0.703,10,-9.45,0,0.0564,0.117,0.00025,0.0511,0.939,105.793,271640,4,2015-05-28T18:47:38Z
21,32EhCKsO5nejpZ7ENTv3HR,You Haven't Done Nothin',Stevie Wonder,0.77,0.682,10,-10.889,0,0.0375,0.251,0.0,0.369,0.919,102.655,203000,4,2015-05-28T18:47:56Z
22,2XKmD2Fy4rVWzL7CFDpd2s,The Payback,James Brown,0.838,0.793,6,-8.924,1,0.284,0.212,2.19e-05,0.21,0.73,97.685,447680,4,2015-05-28T18:48:43Z
23,76ICmoJ4PcoMWoooaTxnQs,Land of 1000 Dances,Wilson Pickett,0.618,0.588,2,-11.624,1,0.0735,0.0128,0.0266,0.351,0.768,86.903,146973,4,2015-05-28T19:34:13Z
24,7xslaQmOHYvJqy6CEVVqkk,Hard to Handle,Otis Redding,0.666,0.549,10,-8.672,1,0.0616,0.573,1.84e-06,0.122,0.961,95.552,141000,4,2015-05-28T19:34:22Z
25,5n9QhVJS3XSjSc9kNJNEIU,Nothing From Nothing,Billy Preston,0.809,0.726,9,-8.209,0,0.0274,0.575,0.235,0.18,0.92,102.779,157667,4,2015-05-28T19:34:46Z
26,66TSoVnJ1P9Tyok03zUlTr,What Is Hip?,Tower Of Power,0.666,0.733,9,-5.884,1,0.0563,0.138,0.000349,0.0892,0.597,101.858,304733,4,2015-05-28T19:39:26Z
27,1a6Jt6USVGKzbjYpcKMwPB,The Seed (2.0),The Roots,0.758,0.957,7,-2.282,1,0.0357,0.039,0.0,0.133,0.966,111.119,267933,4,2015-05-28T19:39:34Z
28,6HwUwxon7QjBIf75SCz2QD,Compared to What,John Legend,0.74,0.758,10,-5.63,0,0.0974,0.0129,0.0878,0.115,0.956,94.169,386867,4,2015-05-28T19:39:36Z
29,5dsbetkGAJJmQh1XF7qdrj,Flipside,Hypnotic Brass Ensemble,0.721,0.554,1,-9.823,1,0.118,0.229,0.782,0.135,0.934,95.918,288526,4,2015-05-28T19:40:32Z
30,2g72QoX5ZZlEqQpKfnOdrj,Expensive Shit,Fela Kuti,0.614,0.876,7,-7.697,0,0.106,0.212,0.359,0.0843,0.682,122.635,793200,4,2015-05-28T19:40:54Z
31,4L25zWeOPN2xdSOVFshYwf,Zombie,Fela Kuti,0.712,0.942,2,-5.115,0,0.165,0.388,0.0146,0.302,0.585,131.812,745653,4,2015-05-28T19:41:36Z
32,4reshwy3fwtKYvtJ0ddqEa,More Mess On My Thing,The Poets Of Rhythm,0.541,0.871,0,-6.157,1,0.0966,0.239,0.901,0.0494,0.962,190.519,252000,4,2015-05-28T19:43:06Z
33,5JMnJaFDDtTgcifhYXhdBB,Brother John / Iko Iko,The Neville Brothers,0.774,0.746,2,-7.756,1,0.366,0.583,0.0,0.372,0.966,81.042,333680,4,2015-05-28T19:43:43Z
34,0I2ELF6uHlL4ABu9aFiou7,Right Place Wrong Time,Dr. John,0.789,0.494,1,-13.702,1,0.0456,0.0923,0.000408,0.144,0.826,104.593,175240,4,2015-05-28T19:43:47Z
35,7yQpHgbDPweCZhTD5ZtXES,They Say I'm Different,Betty Davis,0.537,0.791,6,-7.051,1,0.145,0.122,3.03e-05,0.205,0.889,142.354,255040,4,2015-05-28T19:44:29Z
36,5H7HkFsIUMCFZvaMnWsPjN,Walk On By,Isaac Hayes,0.304,0.452,6,-13.497,1,0.0494,0.214,0.00112,0.0941,0.609,147.477,271667,4,2015-05-28T19:45:30Z
37,6zYQOQjcQlv5zIJ17q65LG,Down By The River,Buddy Miles,0.6,0.37,2,-12.345,1,0.0376,0.183,9.94e-05,0.153,0.254,127.453,380453,4,2015-08-25T02:42:22Z
38,5H7HkFsIUMCFZvaMnWsPjN,Walk On By,Isaac Hayes,0.304,0.452,6,-13.497,1,0.0494,0.214,0.00112,0.0941,0.609,147.477,271667,4,2015-09-06T17:25:20Z
39,2PjsNj2h2WlgTL67ruElxV,The Pusher,Steppenwolf,0.507,0.447,0,-9.259,1,0.0245,0.228,0.0967,0.218,0.654,82.546,348800,4,2015-08-25T02:44:28Z
40,3nzyk1MhcSSjzNdJwJNM9a,Valleys of Neptune,Jimi Hendrix,0.59,0.829,10,-8.36,0,0.0347,0.0426,0.00249,0.135,0.652,113.797,242507,4,2015-09-06T18:19:56Z
41,5G7uLHtoEW140QOcBpJlfz,What Is and What Should Never Be - 1990 Remaster,Led Zeppelin,0.34,0.472,9,-12.939,1,0.0473,0.275,0.0,0.0843,0.533,78.086,283973,4,2015-09-18T03:35:16Z
42,54Ws0ocRn8m70LIQDuBeMz,My Mind Is Ramblin,The Black Keys,0.345,0.675,9,-6.792,1,0.0331,0.306,0.457,0.103,0.444,138.187,405173,4,2015-09-18T03:29:00Z
43,5xC8uOesnn0udeXAYlAnoY,Alright,Supergrass,0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,180880,4,2015-05-15T18:16:25Z
44,305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,Jet,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,4,2015-05-15T18:16:31Z
45,1pHP4JeQV9wDx87D6qH9hD,Here It Goes Again,OK Go,0.537,0.882,0,-2.306,1,0.0403,0.000342,9.06e-05,0.12,0.81,145.729,179813,4,2015-05-15T18:16:38Z
46,2MVwrvjmcdt4MsYYLCYMt8,Tighten Up,The Black Keys,0.504,0.705,6,-6.179,0,0.0665,0.00121,4.12e-06,0.453,0.567,108.965,211080,4,2015-05-15T18:16:57Z
47,284eB4ONFTw8ARgJe29Pp3,Strange Desire,The Black Keys,0.357,0.599,7,-6.34,1,0.0402,0.699,0.0519,0.112,0.33,128.731,260973,4,2015-05-15T18:17:09Z
48,2BodCfcjTxsHSoQq6uFBlJ,Dreaming of You,The Coral,0.441,0.684,9,-7.495,0,0.031,0.374,0.000848,0.108,0.971,199.001,141000,4,2015-05-15T18:18:12Z
49,2F3dEXRcLx9nQT8qCnHj1j,Evil Eye,Franz Ferdinand,0.702,0.815,11,-3.289,0,0.0296,0.0148,3.85e-05,0.0486,0.819,110.968,167253,4,2015-05-15T18:18:32Z
50,2sHFd48VMnInguyfh3K9jT,Inhaler,Miles Kane,0.369,0.925,11,-3.854,0,0.0621,0.00128,3.19e-05,0.0849,0.538,161.964,182667,4,2015-05-15T18:19:20Z
51,79DO6dBi8936P6EShLB209,Lightning Bolt,Jake Bugg,0.551,0.839,9,-4.555,1,0.0787,0.0818,0.0,0.151,0.681,116.051,144013,4,2015-05-15T18:19:32Z
52,4Wr8SYQ0cOCaoy9Dn7SNsJ,Not Living At All,Mr. Airplane Man,0.377,0.964,10,-8.373,0,0.0441,0.413,0.741,0.125,0.825,124.126,224893,4,2015-05-15T18:19:45Z
53,3H7n3x8I4pJoTYPmaixHoT,Teenage Heart Attack - Original Mix,Soledad Brothers,0.448,0.813,7,-7.629,1,0.0424,0.124,0.811,0.419,0.64,120.305,227693,4,2015-05-15T18:19:53Z
54,691RiYTqZaxjOZ2LnRnkyL,Can't Stand It,The Greenhornes,0.462,0.85,2,-4.955,1,0.0305,2.79e-05,0.028,0.0969,0.838,132.743,200760,4,2015-05-15T18:20:01Z
55,0QCaZVI69oy6fKJ8OTdcvM,Pattern Skies,The Greenhornes,0.476,0.853,0,-3.729,1,0.0397,0.000491,0.00134,0.11,0.796,129.548,133653,4,2015-05-15T18:20:12Z
56,6Wi07QCnHHtIqLLXhPBV5X,Heavy Soul,The Black Keys,0.432,0.617,0,-3.125,0,0.049,0.53,0.00553,0.122,0.873,98.322,128893,4,2015-05-15T18:20:40Z
57,2zk1COXk7NaAaDW1KWMuio,"Steady, As She Goes",The Raconteurs,0.53,0.601,9,-4.364,1,0.112,0.00882,0.0211,0.083,0.572,123.009,215293,4,2015-05-15T18:20:46Z
58,4xTjyX1PVTZJftjY2dUzBi,Dead Leaves And The Dirty Ground,The White Stripes,0.37,0.606,9,-4.07,0,0.0332,0.475,3.07e-06,0.0844,0.438,81.272,183933,4,2015-05-15T18:20:53Z
59,3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,193373,4,2015-05-15T18:20:57Z
60,0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Kings of Leon,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4,2015-05-15T18:21:10Z
61,0f8MA1n2bvsg7eGvYZ4lhx,In One Ear,Cage The Elephant,0.326,0.948,1,-4.315,0,0.0606,0.000258,0.0,0.367,0.358,166.388,241320,4,2015-05-15T18:21:21Z
62,6gVtsx3F2xkfOAZDIM7rkt,Suffocation Blues,Black Pistol Fire,0.284,0.857,11,-6.103,0,0.119,0.000716,2.71e-05,0.0634,0.42,174.789,161000,4,2015-05-15T18:22:04Z
63,1oKjzp3rhF4A4iCky9mWci,Shoestring,Patrick Sweany,0.586,0.639,4,-7.087,1,0.0268,0.383,0.000234,0.1,0.67,128.347,242427,4,2015-05-15T18:22:49Z
64,2IIBoNBF73l8j3JrlXtwom,Travis County - Live,Gary Clark Jr.,0.284,0.914,7,-3.853,0,0.0652,0.319,0.0176,0.707,0.594,168.965,222053,4,2015-05-15T18:23:03Z
65,0f6SrIFK5k9iST0dvxiuSV,Booty City,Black Joe Lewis & The Honeybears,0.695,0.633,0,-5.09,1,0.173,0.00407,0.0065,0.0481,0.961,150.368,161227,4,2015-05-15T18:23:25Z
66,3s0CpEkaBUEku8bllypRjW,Dar Es Salaam,Black Joe Lewis,0.437,0.745,7,-3.859,1,0.0336,0.00865,0.253,0.0695,0.885,162.997,249427,4,2015-05-15T18:23:33Z
67,1BWNpziDWyAMfGdKC2ydS6,Feeling Good,The Sheepdogs,0.52,0.889,0,-5.216,0,0.0931,0.00956,1.67e-06,0.268,0.385,126.238,190133,4,2015-05-15T18:23:44Z
68,4piMww01GAl4pj65mtslYo,Rollin 'N Tumblin,North Mississippi Allstars,0.637,0.949,7,-6.379,1,0.134,0.0351,0.774,0.426,0.28,119.992,155987,4,2015-05-15T18:24:03Z
69,2Bcu8cmU7qYu3qXLowHQie,"Heartbroken, in Disrepair",Dan Auerbach,0.6,0.9,5,-8.434,0,0.0457,0.00925,0.293,0.269,0.918,77.728,201280,4,2015-05-15T18:24:25Z
70,6KmSpuVSuYBvut7zb1e0ys,The Prowl,Dan Auerbach,0.384,0.755,8,-5.812,1,0.0537,0.206,0.0266,0.663,0.595,85.358,196387,4,2015-05-15T18:24:29Z
